alpha,beta0,cut,Episode,beta,Average over RMS of Value Estimates
0.1,0,0,66,0,0.1317745835558412
0.1,0,0,67,0,0.13061114092473614
0.1,0,0,68,0,0.12994324575810118
0.1,0,0,69,0,0.12820395840248738
0.1,0,0,70,0,0.12633508044039013
0.1,0,0,71,0,0.12463354346448764
0.1,0,0,72,0,0.12257606080884999
0.1,0,0,73,0,0.12129480457896007
0.1,0,0,74,0,0.11956726294221692
0.1,0,0,75,0,0.11827082931380463
0.1,0,0,76,0,0.11570132375807511
0.1,0,0,77,0,0.11394462737366538
0.1,0,0,78,0,0.11113865689195343
0.1,0,0,79,0,0.10836067032069481
0.1,0,0,80,0,0.10615454768213989
0.1,0,0,81,0,0.10440803292457321
0.1,0,0,82,0,0.1020239942953495
0.1,0,0,83,0,0.09906429120386435
0.1,0,0,84,0,0.09824245875907399
0.1,0,0,85,0,0.09661545368423184
0.1,0,0,86,0,0.09421264763723
0.1,0,0,87,0,0.09323122289262153
0.1,0,0,88,0,0.09247881959940031
0.1,0,0,89,0,0.09087308509428352
0.1,0,0,90,0,0.0894769383899152
0.1,0,0,91,0,0.08789456360883525
0.1,0,0,92,0,0.08717117917180861
0.1,0,0,93,0,0.08521205636981138
0.1,0,0,94,0,0.08325560316796704
0.1,0,0,95,0,0.08209158362431608
0.1,0,0,96,0,0.0803873458535701
0.1,0,0,97,0,0.08069006842515475
0.1,0,0,98,0,0.07985422985598792
0.1,0,0,99,0,0.07913179425340436
0.1,0,0,100,0,0.0786524054869792
0.1,0,0,101,0,0.0775935717900872
0.1,0,0,102,0,0.07629532886532985
0.1,0,0,103,0,0.07586380420194262
0.1,0,0,104,0,0.07517921002451128
0.1,0,0,105,0,0.0748704962321169
0.1,0,0,106,0,0.07483714129344726
0.1,0,0,107,0,0.0745272678372503
0.1,0,0,108,0,0.0737652324444611
0.1,0,0,109,0,0.07233017985317855
0.1,0,0,110,0,0.07212843262190372
0.1,0,0,111,0,0.0708316542876736
0.1,0,0,112,0,0.06937327005583183
0.1,0,0,113,0,0.06866511212188912
0.1,0,0,114,0,0.06843744066026297
0.1,0,0,115,0,0.06724094723701833
0.1,0,0,116,0,0.0675647879777184
0.1,0,0,117,0,0.06686161716351217
0.1,0,0,118,0,0.06580672077125514
0.1,0,0,119,0,0.0657283932942583
0.1,0,0,120,0,0.06571968973196242
0.1,0,0,121,0,0.064124132567657
0.1,0,0,122,0,0.06473702825364028
0.1,0,0,123,0,0.06475637874239748
0.1,0,0,124,0,0.06525563227020134
0.1,0,0,125,0,0.063814892873041
0.1,0,0,126,0,0.06395721288275166
0.1,0,0,127,0,0.062291616725603696
0.1,0,0,128,0,0.06263729554607156
0.1,0,0,129,0,0.06216853687722641
0.1,0,0,130,0,0.061758722150543795
0.1,0,0,131,0,0.06202169458418656
0.1,0,0,132,0,0.062189778075960316
0.1,0,0,133,0,0.06203170956865841
0.1,0,0,134,0,0.06193770154915752
0.1,0,0,135,0,0.06161805363530888
0.1,0,0,136,0,0.06038122910242394
0.1,0,0,137,0,0.05987278380660408
0.1,0,0,138,0,0.05864815670260955
0.1,0,0,139,0,0.0587713598203656
0.1,0,0,140,0,0.05834531156065477
0.1,0,0,141,0,0.058986205622360295
0.1,0,0,142,0,0.058508446015239385
0.1,0,0,143,0,0.05790562859442481
0.1,0,0,144,0,0.056272794686377726
0.1,0,0,145,0,0.056580766262011944
0.1,0,0,146,0,0.05676259179448004
0.1,0,0,147,0,0.05611508570043902
0.1,0,0,148,0,0.055689467923289555
0.1,0,0,149,0,0.05554465746930456
0.1,0,0,150,0,0.05620358041620116
0.1,1,0.100000000000000,1,1,0.7418321488380266
0.1,1,0.100000000000000,2,0.100000000000000,0.576734970136224
0.1,1,0.100000000000000,3,0.0100000000000000,0.4907802340564191
0.1,1,0.100000000000000,4,0.00100000000000000,0.43684136471036955
0.1,1,0.100000000000000,5,0.000100000000000000,0.3948683534839767
0.1,1,0.100000000000000,6,1.00000000000000e-05,0.36909782129924973
0.1,1,0.100000000000000,7,1.00000000000000e-06,0.346148731380596
0.1,1,0.100000000000000,8,1.00000000000000e-07,0.3296533167425404
0.1,1,0.100000000000000,9,1.00000000000000e-08,0.3146532389217531
0.1,1,0.100000000000000,10,1.00000000000000e-09,0.3012768910731172
0.1,1,0.100000000000000,11,1.00000000000000e-10,0.28785185597859475
0.1,1,0.100000000000000,12,1.00000000000000e-11,0.27695773659577144
0.1,1,0.100000000000000,13,1.00000000000000e-12,0.26689789642548817
0.1,1,0.100000000000000,14,1.00000000000000e-13,0.2580472093175634
0.1,1,0.100000000000000,15,1.00000000000000e-14,0.24987871435852427
0.1,1,0.100000000000000,16,1.00000000000000e-15,0.24141138493149064
0.1,1,0.100000000000000,17,1.00000000000000e-16,0.23324135633730678
0.1,1,0.100000000000000,18,1.00000000000000e-17,0.22556044788501273
0.1,1,0.100000000000000,19,1.00000000000000e-18,0.2201762435389585
0.1,1,0.100000000000000,20,1.00000000000000e-19,0.21404872536468517
0.1,1,0.100000000000000,21,1.00000000000000e-20,0.2087347216591864
0.1,1,0.100000000000000,22,1.00000000000000e-21,0.20222720498031696
0.1,1,0.100000000000000,23,1.00000000000000e-22,0.19690553117044615
0.1,1,0.100000000000000,24,1.00000000000000e-23,0.19268717744222066
0.1,1,0.100000000000000,25,1.00000000000000e-24,0.18891211100218872
0.1,1,0.100000000000000,26,1.00000000000000e-25,0.1838913476609193
0.1,1,0.100000000000000,27,1.00000000000000e-26,0.17993973294278742
0.1,1,0.100000000000000,28,1.00000000000000e-27,0.17661915951166954
0.1,1,0.100000000000000,29,1.00000000000000e-28,0.17202442170922938
0.1,1,0.100000000000000,30,1.00000000000000e-29,0.1690621050179085
0.1,1,0.100000000000000,31,1.00000000000000e-30,0.16531680295401682
0.1,1,0.100000000000000,32,1.00000000000000e-31,0.16220084226468573
0.1,1,0.100000000000000,33,1.00000000000000e-32,0.15846499303577077
0.1,1,0.100000000000000,34,1.00000000000000e-33,0.1553962068295956
0.1,1,0.100000000000000,35,1.00000000000000e-34,0.1522802029684773
0.1,1,0.100000000000000,36,1.00000000000000e-35,0.1495206459232985
0.1,1,0.100000000000000,37,1.00000000000000e-36,0.1472313875301679
0.1,1,0.100000000000000,38,1.00000000000000e-37,0.14417416376010614
0.1,1,0.100000000000000,39,1.00000000000000e-38,0.1413034944620515
0.1,1,0.100000000000000,40,1.00000000000000e-39,0.13888730632618845
0.1,1,0.100000000000000,41,1.00000000000000e-40,0.13626704197210276
0.1,1,0.100000000000000,42,1.00000000000000e-41,0.13374125437680973
0.1,1,0.100000000000000,43,1.00000000000000e-42,0.13106357661875864
0.1,1,0.100000000000000,44,1.00000000000000e-43,0.1284024463441429
0.1,1,0.100000000000000,45,1.00000000000000e-44,0.1265030680504429
0.1,1,0.100000000000000,46,1.00000000000000e-45,0.12411393340540446
0.1,1,0.100000000000000,47,1.00000000000000e-46,0.12296199813977587
0.1,1,0.100000000000000,48,1.00000000000000e-47,0.1215012315246531
0.1,1,0.100000000000000,49,1.00000000000000e-48,0.11850239348437384
0.1,1,0.100000000000000,50,1.00000000000000e-49,0.1164250270365002
0.1,1,0.100000000000000,51,1.00000000000000e-50,0.11444639113010342
0.1,1,0.100000000000000,52,1.00000000000000e-51,0.1113874893907228
0.1,1,0.100000000000000,53,1.00000000000000e-52,0.10953329477554961
0.1,1,0.100000000000000,54,1.00000000000000e-53,0.10767134208147937
0.1,1,0.100000000000000,55,1.00000000000000e-54,0.1066188545514905
0.1,1,0.100000000000000,56,1.00000000000000e-55,0.10540131123739988
0.1,1,0.100000000000000,57,1.00000000000000e-56,0.10335974248607668
0.1,1,0.100000000000000,58,1.00000000000000e-57,0.1024136033075792
0.1,1,0.100000000000000,59,1.00000000000000e-58,0.10147720800930568
0.1,1,0.100000000000000,60,1.00000000000000e-59,0.09979180653775224
0.1,1,0.100000000000000,61,1.00000000000000e-60,0.09841103802735918
0.1,1,0.100000000000000,62,1.00000000000000e-61,0.0971109974123567
0.1,1,0.100000000000000,63,1.00000000000000e-62,0.09615399549136365
0.1,1,0.100000000000000,64,1.00000000000000e-63,0.09471969672295857
0.1,1,0.100000000000000,65,1.00000000000000e-64,0.09313029718076336
0.1,1,0.100000000000000,66,1.00000000000000e-65,0.09182695361628544
0.1,1,0.100000000000000,67,1.00000000000000e-66,0.09103466539205042
0.1,1,0.100000000000000,68,1.00000000000000e-67,0.08960108795840575
0.1,1,0.100000000000000,69,1.00000000000000e-68,0.08845445983156158
0.1,1,0.100000000000000,70,1.00000000000000e-69,0.0864887435842264
0.1,1,0.100000000000000,71,1.00000000000000e-70,0.0856481436433748
0.1,1,0.100000000000000,72,1.00000000000000e-71,0.08632475078072328
0.1,1,0.100000000000000,73,1.00000000000000e-72,0.08520274485389537
0.1,1,0.100000000000000,74,1.00000000000000e-73,0.08408140117021569
0.1,1,0.100000000000000,75,1.00000000000000e-74,0.08375878689132703
0.1,1,0.100000000000000,76,1.00000000000000e-75,0.08184352330239651
0.1,1,0.100000000000000,77,1.00000000000000e-76,0.08209967334341702
0.1,1,0.100000000000000,78,1.00000000000000e-77,0.08123452358258546
0.1,1,0.100000000000000,79,1.00000000000000e-78,0.08072110417761687
0.1,1,0.100000000000000,80,1.00000000000000e-79,0.0808374729144928
0.1,1,0.100000000000000,81,1.00000000000000e-80,0.07963151483250984
0.1,1,0.100000000000000,82,1.00000000000000e-81,0.07927502253192975
0.1,1,0.100000000000000,83,1.00000000000000e-82,0.07859732576914347
0.1,1,0.100000000000000,84,1.00000000000000e-83,0.07780315602104557
0.1,1,0.100000000000000,85,1.00000000000000e-84,0.07752937579428183
0.1,1,0.100000000000000,86,1.00000000000000e-85,0.07706211655450292
0.1,1,0.100000000000000,87,1.00000000000000e-86,0.07561321032156804
0.1,1,0.100000000000000,88,1.00000000000000e-87,0.07391881825506394
0.1,1,0.100000000000000,89,1.00000000000000e-88,0.07221592265673837
0.1,1,0.100000000000000,90,1.00000000000001e-89,0.07067350105873413
0.1,1,0.100000000000000,91,1.00000000000001e-90,0.07029431225700679
0.1,1,0.100000000000000,92,1.00000000000001e-91,0.06901720545726461
0.1,1,0.100000000000000,93,1.00000000000001e-92,0.06756572994511274
0.1,1,0.100000000000000,94,1.00000000000001e-93,0.06675303838014149
0.1,1,0.100000000000000,95,1.00000000000001e-94,0.06609340320954518
0.1,1,0.100000000000000,96,1.00000000000001e-95,0.06582388257428265
0.1,1,0.100000000000000,97,1.00000000000001e-96,0.06557163924936153
0.1,1,0.100000000000000,98,1.00000000000001e-97,0.06526061927579302
0.1,1,0.100000000000000,99,1.00000000000001e-98,0.06409000565443704
0.1,1,0.100000000000000,100,1.00000000000001e-99,0.06426407873907293
0.1,1,0.100000000000000,101,1.00000000000001e-100,0.06360671130404653
0.1,1,0.100000000000000,102,1.00000000000001e-101,0.06257463703833416
0.1,1,0.100000000000000,103,1.00000000000001e-102,0.06191868200464227
0.1,1,0.100000000000000,104,1.00000000000001e-103,0.06229770746649961
0.1,1,0.100000000000000,105,1.00000000000001e-104,0.06165413744024795
0.1,1,0.100000000000000,106,1.00000000000001e-105,0.060785824784183096
0.1,1,0.100000000000000,107,1.00000000000001e-106,0.06103695662259712
0.1,1,0.100000000000000,108,1.00000000000001e-107,0.0611578872861253
0.1,1,0.100000000000000,109,1.00000000000001e-108,0.061116882538161145
0.1,1,0.100000000000000,110,1.00000000000001e-109,0.06053713736736011
0.1,1,0.100000000000000,111,1.00000000000001e-110,0.06060676829896555
0.1,1,0.100000000000000,112,1.00000000000001e-111,0.0606545061901331
0.1,1,0.100000000000000,113,1.00000000000001e-112,0.06079542246201231
0.1,1,0.100000000000000,114,1.00000000000001e-113,0.060340428834331876
0.1,1,0.100000000000000,115,1.00000000000001e-114,0.059600458917764165
0.1,1,0.100000000000000,116,1.00000000000001e-115,0.05838983421649151
0.1,1,0.100000000000000,117,1.00000000000001e-116,0.05933920434942241
0.1,1,0.100000000000000,118,1.00000000000001e-117,0.059033521534780684
0.1,1,0.100000000000000,119,1.00000000000001e-118,0.05908007386187344
0.1,1,0.100000000000000,120,1.00000000000001e-119,0.05793240778672011
0.1,1,0.100000000000000,121,1.00000000000001e-120,0.05760419492179494
0.1,1,0.100000000000000,122,1.00000000000001e-121,0.057766727548187985
0.1,1,0.100000000000000,123,1.00000000000001e-122,0.05762790605465132
0.1,1,0.100000000000000,124,1.00000000000001e-123,0.057644741582057145
0.1,1,0.100000000000000,125,1.00000000000001e-124,0.05784204904933614
0.1,1,0.100000000000000,126,1.00000000000001e-125,0.057490482213221575
0.1,1,0.100000000000000,127,1.00000000000001e-126,0.05730415637200799
0.1,1,0.100000000000000,128,1.00000000000001e-127,0.05749355463868283
0.1,1,0.100000000000000,129,1.00000000000001e-128,0.05787164294452338
0.1,1,0.100000000000000,130,1.00000000000001e-129,0.058384574799145564
0.1,1,0.100000000000000,131,1.00000000000001e-130,0.05762802416821208
0.1,1,0.100000000000000,132,1.00000000000001e-131,0.05782737695618228
0.1,1,0.100000000000000,133,1.00000000000001e-132,0.05731242163671069
0.1,1,0.100000000000000,134,1.00000000000001e-133,0.05649390077141252
0.1,1,0.100000000000000,135,1.00000000000001e-134,0.05657389753862138
0.1,1,0.100000000000000,136,1.00000000000001e-135,0.0570601463448479
0.1,1,0.100000000000000,137,1.00000000000001e-136,0.056915199565496365
0.1,1,0.100000000000000,138,1.00000000000001e-137,0.056503452223422276
0.1,1,0.100000000000000,139,1.00000000000001e-138,0.05578715425954802
0.1,1,0.100000000000000,140,1.00000000000001e-139,0.055860932715393066
0.1,1,0.100000000000000,141,1.00000000000001e-140,0.05621854668357496
0.1,1,0.100000000000000,142,1.00000000000001e-141,0.056279380128966994
0.1,1,0.100000000000000,143,1.00000000000001e-142,0.0557104511060606
0.1,1,0.100000000000000,144,1.00000000000001e-143,0.05516347138785894
0.1,1,0.100000000000000,145,1.00000000000001e-144,0.05557135618509318
0.1,1,0.100000000000000,146,1.00000000000001e-145,0.05608443599265791
0.1,1,0.100000000000000,147,1.00000000000001e-146,0.05585519147308618
0.1,1,0.100000000000000,148,1.00000000000001e-147,0.055292360159148485
0.1,1,0.100000000000000,149,1.00000000000001e-148,0.05361949323126697
0.1,1,0.100000000000000,150,1.00000000000001e-149,0.05378836592113481
0.1,1,1,1,1,0.7713750282054812
0.1,1,1,2,1,0.5737920441954845
0.1,1,1,3,1,0.5018794615313104
0.1,1,1,4,1,0.5132267398183905
0.1,1,1,5,1,0.5759395317388973
0.1,1,1,6,1,0.6654269155500662
0.1,1,1,7,1,0.7883151157539197
0.1,1,1,8,1,0.8823430904639115
0.1,1,1,9,1,0.9897225669385279
0.1,1,1,10,1,1.1186053116464438
0.1,1,1,11,1,1.2358594105249057
0.1,1,1,12,1,1.353100678985453
0.1,1,1,13,1,1.4622946768389662
0.1,1,1,14,1,1.583946835537584
0.1,1,1,15,1,1.687519445568674
0.1,1,1,16,1,1.7898052653926053
0.1,1,1,17,1,1.8888360724871753
0.1,1,1,18,1,1.9881786716461785
0.1,1,1,19,1,2.0931992513487776
0.1,1,1,20,1,2.2073142453224355
0.1,1,1,21,1,2.3093660062615733
0.1,1,1,22,1,2.3887135496321967
0.1,1,1,23,1,2.4810854844285224
0.1,1,1,24,1,2.583450606195153
0.1,1,1,25,1,2.687368797558637
0.1,1,1,26,1,2.7859149237747842
0.1,1,1,27,1,2.866079241353002
0.1,1,1,28,1,2.9431724837455007
0.1,1,1,29,1,3.0315504776055
0.1,1,1,30,1,3.119459129641453
0.1,1,1,31,1,3.211052028019675
0.1,1,1,32,1,3.2988741514402937
0.1,1,1,33,1,3.373446337852387
0.1,1,1,34,1,3.4610511949143477
0.1,1,1,35,1,3.5436195518181974
0.1,1,1,36,1,3.629402169282809
0.1,1,1,37,1,3.7107414431123145
0.1,1,1,38,1,3.7952970433390494
0.1,1,1,39,1,3.879570702789914
0.1,1,1,40,1,3.9654559790604957
0.1,1,1,41,1,4.05732329017937
0.1,1,1,42,1,4.134276564310559
0.1,1,1,43,1,4.1915595845308795
0.1,1,1,44,1,4.276093218892518
0.1,1,1,45,1,4.350097088798923
0.1,1,1,46,1,4.422299497903487
0.1,1,1,47,1,4.480966313822466
0.1,1,1,48,1,4.552862206214957
0.1,1,1,49,1,4.62707234957314
0.1,1,1,50,1,4.698556924485231
0.1,1,1,51,1,4.759229195087535
0.1,1,1,52,1,4.82090435856241
0.1,1,1,53,1,4.876994457287463
0.1,1,1,54,1,4.929316837372262
0.1,1,1,55,1,4.987155614976979
0.1,1,1,56,1,5.037379491019537
0.1,1,1,57,1,5.100625611367763
0.1,1,1,58,1,5.16419673818265
0.1,1,1,59,1,5.247653313822966
0.1,1,1,60,1,5.302543412831105
0.1,1,1,61,1,5.349644945168788
0.1,1,1,62,1,5.400911793261193
0.1,1,1,63,1,5.44290037379449
0.1,1,1,64,1,5.477732692308081
0.1,1,1,65,1,5.514829035082005
0.1,1,1,66,1,5.57357373943161
0.1,1,1,67,1,5.63314232305147
0.1,1,1,68,1,5.68633462946785
0.1,1,1,69,1,5.746660270221342
0.1,1,1,70,1,5.777550156469193
0.1,1,1,71,1,5.816971408975019
0.1,1,1,72,1,5.861775605152611
0.1,1,1,73,1,5.917122072855759
0.1,1,1,74,1,5.944937149452532
0.1,1,1,75,1,5.984469114675543
0.1,1,1,76,1,6.035601727383128
0.1,1,1,77,1,6.083464529770711
0.1,1,1,78,1,6.132757107485162
0.1,1,1,79,1,6.151001945284532
0.1,1,1,80,1,6.205930327252218
0.1,1,1,81,1,6.254556625149884
0.1,1,1,82,1,6.3121800002229325
0.1,1,1,83,1,6.341077191356501
0.1,1,1,84,1,6.3954400713087765
0.1,1,1,85,1,6.43092464202255
0.1,1,1,86,1,6.463016027614252
0.1,1,1,87,1,6.502711903632384
0.1,1,1,88,1,6.543905929272642
0.1,1,1,89,1,6.581276025048162
0.1,1,1,90,1,6.617436133700533
0.1,1,1,91,1,6.669658320388171
0.1,1,1,92,1,6.706861005843739
0.1,1,1,93,1,6.737513749619488
0.1,1,1,94,1,6.787524708675417
0.1,1,1,95,1,6.818088665568905
0.1,1,1,96,1,6.837309506825088
0.1,1,1,97,1,6.888123720139488
0.1,1,1,98,1,6.933270329307224
0.1,1,1,99,1,6.969443461539615
0.1,1,1,100,1,7.003446910260965
0.1,1,1,101,1,7.0602933571944355
0.1,1,1,102,1,7.084417434468284
0.1,1,1,103,1,7.116645145940527
0.1,1,1,104,1,7.165349255205371
0.1,1,1,105,1,7.1954488923457225
0.1,1,1,106,1,7.226628992901839
0.1,1,1,107,1,7.258722894505046
0.1,1,1,108,1,7.273229104170283
0.1,1,1,109,1,7.305141503121372
0.1,1,1,110,1,7.348523992567557
0.1,1,1,111,1,7.388640040932736
0.1,1,1,112,1,7.43565170703125
0.1,1,1,113,1,7.470937638045808
0.1,1,1,114,1,7.4813427294668315
0.1,1,1,115,1,7.50105480544866
0.1,1,1,116,1,7.524398660787434
0.1,1,1,117,1,7.53091746135098
0.1,1,1,118,1,7.551213557998921
0.1,1,1,119,1,7.563325364516526
0.1,1,1,120,1,7.58078233369238
0.1,1,1,121,1,7.596891755781433
0.1,1,1,122,1,7.624740183921314
0.1,1,1,123,1,7.647327190201413
0.1,1,1,124,1,7.6592132666501245
0.1,1,1,125,1,7.685575573216851
0.1,1,1,126,1,7.698015030270151
0.1,1,1,127,1,7.7211034530197535
0.1,1,1,128,1,7.737851814953493
0.1,1,1,129,1,7.75708180299109
0.1,1,1,130,1,7.7956637929984165
0.1,1,1,131,1,7.8016290615843955
0.1,1,1,132,1,7.837605419286113
0.1,1,1,133,1,7.865003589900279
0.1,1,1,134,1,7.891781707715049
0.1,1,1,135,1,7.909750228453089
0.1,1,1,136,1,7.920552467758345
0.1,1,1,137,1,7.934716936111613
0.1,1,1,138,1,7.950680494812483
0.1,1,1,139,1,7.951924978254084
0.1,1,1,140,1,7.9618160005636005
0.1,1,1,141,1,7.972173609057564
0.1,1,1,142,1,7.997192133190084
0.1,1,1,143,1,8.020219250590728
0.1,1,1,144,1,8.045900000863666
0.1,1,1,145,1,8.042438820803518
0.1,1,1,146,1,8.052337799939487
0.1,1,1,147,1,8.055157209508055
0.1,1,1,148,1,8.059263658626179
0.1,1,1,149,1,8.076248132650734
0.1,1,1,150,1,8.070227708106271
0.1,1,0.500000000000000,1,1,0.7512997922436128
0.1,1,0.500000000000000,2,0.500000000000000,0.5716507811566988
0.1,1,0.500000000000000,3,0.250000000000000,0.47723283622127227
0.1,1,0.500000000000000,4,0.125000000000000,0.4075764680519549
0.1,1,0.500000000000000,5,0.0625000000000000,0.367721583071657
0.1,1,0.500000000000000,6,0.0312500000000000,0.33983716798196334
0.1,1,0.500000000000000,7,0.0156250000000000,0.31535467191218264
0.1,1,0.500000000000000,8,0.00781250000000000,0.29820795716101
0.1,1,0.500000000000000,9,0.00390625000000000,0.2836630885770305
0.1,1,0.500000000000000,10,0.00195312500000000,0.26943156026382653
0.1,1,0.500000000000000,11,0.000976562500000000,0.255662225457003
0.1,1,0.500000000000000,12,0.000488281250000000,0.24320762013560632
0.1,1,0.500000000000000,13,0.000244140625000000,0.2331420656911222
0.1,1,0.500000000000000,14,0.000122070312500000,0.22337982574978443
0.1,1,0.500000000000000,15,6.10351562500000e-05,0.2148488804670567
0.1,1,0.500000000000000,16,3.05175781250000e-05,0.2064796115662918
0.1,1,0.500000000000000,17,1.52587890625000e-05,0.19839041551657266
0.1,1,0.500000000000000,18,7.62939453125000e-06,0.19073694136384722
0.1,1,0.500000000000000,19,3.81469726562500e-06,0.1838004996489623
0.1,1,0.500000000000000,20,1.90734863281250e-06,0.17673138555610257
0.1,1,0.500000000000000,21,9.53674316406250e-07,0.17061152780022124
0.1,1,0.500000000000000,22,4.76837158203125e-07,0.16334409993098162
0.1,1,0.500000000000000,23,2.38418579101563e-07,0.15743922105496572
0.1,1,0.500000000000000,24,1.19209289550781e-07,0.1525634420251015
0.1,1,0.500000000000000,25,5.96046447753906e-08,0.14696269453604738
0.1,1,0.500000000000000,26,2.98023223876953e-08,0.14315844386614862
0.1,1,0.500000000000000,27,1.49011611938477e-08,0.1385933774553573
0.1,1,0.500000000000000,28,7.45058059692383e-09,0.13376772273406087
0.1,1,0.500000000000000,29,3.72529029846191e-09,0.13013759293395366
0.1,1,0.500000000000000,30,1.86264514923096e-09,0.12650628052578336
0.1,1,0.500000000000000,31,9.31322574615479e-10,0.12258415883613644
0.1,1,0.500000000000000,32,4.65661287307739e-10,0.11813505388473791
0.1,1,0.500000000000000,33,2.32830643653870e-10,0.11563997615065795
0.1,1,0.500000000000000,34,1.16415321826935e-10,0.11239102810204786
0.1,1,0.500000000000000,35,5.82076609134674e-11,0.1098030516913935
0.1,1,0.500000000000000,36,2.91038304567337e-11,0.10651749495537398
0.1,1,0.500000000000000,37,1.45519152283669e-11,0.10462480763117435
0.1,1,0.500000000000000,38,7.27595761418343e-12,0.10145312340168794
0.1,1,0.500000000000000,39,3.63797880709171e-12,0.09828790998239385
0.1,1,0.500000000000000,40,1.81898940354586e-12,0.09524102485586168
0.1,1,0.500000000000000,41,9.09494701772928e-13,0.09228590064762171
0.1,1,0.500000000000000,42,4.54747350886464e-13,0.0906151063805971
0.1,1,0.500000000000000,43,2.27373675443232e-13,0.0888230549220749
0.1,1,0.500000000000000,44,1.13686837721616e-13,0.08662730478010802
0.1,1,0.500000000000000,45,5.68434188608080e-14,0.08512101687241046
0.1,1,0.500000000000000,46,2.84217094304040e-14,0.08332667625401424
0.1,1,0.500000000000000,47,1.42108547152020e-14,0.0807211044444905
0.1,1,0.500000000000000,48,7.10542735760100e-15,0.08031486601880344
0.1,1,0.500000000000000,49,3.55271367880050e-15,0.07851393045364678
0.1,1,0.500000000000000,50,1.77635683940025e-15,0.07752798749259472
0.1,1,0.500000000000000,51,8.88178419700125e-16,0.07644694700827527
0.1,1,0.500000000000000,52,4.44089209850063e-16,0.0752447582328861
0.1,1,0.500000000000000,53,2.22044604925031e-16,0.07307674924844951
0.1,1,0.500000000000000,54,1.11022302462516e-16,0.07087585043307285
0.1,1,0.500000000000000,55,5.55111512312578e-17,0.06969024366924155
0.1,1,0.500000000000000,56,2.77555756156289e-17,0.06821930401646446
0.1,1,0.500000000000000,57,1.38777878078145e-17,0.06816179737985134
0.1,1,0.500000000000000,58,6.93889390390723e-18,0.0671722873944697
0.1,1,0.500000000000000,59,3.46944695195361e-18,0.06584245264821825
0.1,1,0.500000000000000,60,1.73472347597681e-18,0.06477886868578728
0.1,1,0.500000000000000,61,8.67361737988404e-19,0.06408035563663499
0.1,1,0.500000000000000,62,4.33680868994202e-19,0.06432087817130826
0.1,1,0.500000000000000,63,2.16840434497101e-19,0.06333855012245318
0.1,1,0.500000000000000,64,1.08420217248550e-19,0.06302467037907672
0.1,1,0.500000000000000,65,5.42101086242752e-20,0.06180660475391814
0.1,1,0.500000000000000,66,2.71050543121376e-20,0.060493121257968234
0.1,1,0.500000000000000,67,1.35525271560688e-20,0.05980849881420938
